Rk,Player,Tm,Age,Pos,G,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving 1D,Receiving Lng,Receiving R/G,Receiving Y/G,Receiving Ctch%,Receiving Y/Tgt,Rushing Att,Rushing Yds,Rushing TD,Rushing 1D,Rushing Lng,Rushing Y/A,Rushing Y/G,Rushing A/G,Total Tch,Y/Tch,Total Yds,RRTD,Fmb,key
192,Nelson Agholor,NWE,29,WR,16,7,53,31,362,11.7,2,12,44,1.9,22.6,58.50%,6.8,,,0,0,,,,,31,11.7,362,2,2,AghoNe00
193,Mike Gesicki,MIA,27,TE,17,1,52,32,362,11.3,5,19,32,1.9,21.3,61.50%,7,,,0,0,,,,,32,11.3,362,5,,GesiMi00
194,Rashaad Penny,SEA,26,RB,5,5,5,4,16,4,0,2,6,0.8,3.2,80.00%,3.2,57,346,2,15,41,6.1,69.2,11.4,61,5.9,362,2,1,PennRa00
195,Kyle Pitts,ATL,22,TE,10,10,59,28,356,12.7,2,20,33,2.8,35.6,47.50%,6,,,0,0,,,,,28,12.7,356,2,,PittKy00
196,Quez Watkins,PHI,24,WR,17,8,51,33,354,10.7,3,13,53,1.9,20.8,64.70%,6.9,3,1,0,0,4,0.3,0.1,0.2,36,9.9,355,3,1,WatkQu00
197,Will Dissly,SEA,26,TE,15,15,38,34,349,10.3,3,20,38,2.3,23.3,89.50%,9.2,,,0,0,,,,,34,10.3,349,3,,DissWi00
198,Julio Jones,TAM,33,WR,10,5,43,24,299,12.5,2,13,48,2.4,29.9,55.80%,7,5,45,0,4,15,9,4.5,0.5,29,11.9,344,2,,JoneJu02
199,Allen Robinson,LAR,29,WR,10,10,52,33,339,10.3,3,23,29,3.3,33.9,63.50%,6.5,,,0,0,,,,,33,10.3,339,3,,RobiAl02
200,Matt Breida,NYG,27,RB,17,1,25,20,118,5.9,0,5,16,1.2,6.9,80.00%,4.7,54,220,1,13,18,4.1,12.9,3.2,74,4.6,338,1,,BreiMa00
201,Laviska Shenault Jr.,CAR,24,WR,13,4,32,27,272,10.1,1,10,67,2.1,20.9,84.40%,8.5,9,65,1,1,41,7.2,5,0.7,36,9.4,337,2,,ShenLa00
202,Tutu Atwell,LAR,23,WR,13,4,35,18,298,16.6,1,11,62,1.4,22.9,51.40%,8.5,9,34,1,2,11,3.8,2.6,0.7,27,12.3,332,2,,AtweTu00
203,Hunter Renfrow,LVR,27,WR,10,1,50,36,330,9.2,2,18,27,3.6,33,72.00%,6.6,,,0,0,,,,,36,9.2,330,2,3,RenfHu00
204,Mecole Hardman,KAN,24,WR,8,5,34,25,297,11.9,4,14,36,3.1,37.1,73.50%,8.7,4,31,2,3,25,7.8,3.9,0.5,29,11.3,328,6,1,HardMe00
205,Sammy Watkins,2TM,29,,12,5,27,16,325,20.3,0,11,55,1.3,27.1,59.30%,12,,,0,0,,,,,16,20.3,325,0,1,WatkSa00
206,Kendall Hinton,DEN,25,WR,12,5,33,24,311,13,0,14,35,2,25.9,72.70%,9.4,2,13,0,1,13,6.5,1.1,0.2,26,12.5,324,0,,HintKe00
207,Logan Thomas,WAS,31,TE,14,13,61,39,323,8.3,1,15,27,2.8,23.1,63.90%,5.3,,,0,0,,,,,39,8.3,323,1,,ThomLo00
208,Dontrell Hilliard,TEN,27,RB,12,1,26,21,177,8.4,4,8,31,1.8,14.8,80.80%,6.8,22,145,0,4,30,6.6,12.1,1.8,43,7.5,322,4,,HillDo00
209,Colby Parkinson,SEA,23,TE,17,2,34,25,322,12.9,2,14,39,1.5,18.9,73.50%,9.5,,,0,0,,,,,25,12.9,322,2,,ParkCo02
210,Ray-Ray McCloud,SFO,26,WR,17,2,25,14,243,17.4,1,11,42,0.8,14.3,56.00%,9.7,4,78,1,1,71,19.5,4.6,0.2,18,17.8,321,2,2,McClRa00
211,Jamycal Hasty,JAX,26,RB,17,0,26,20,126,6.3,1,7,28,1.2,7.4,76.90%,4.8,46,194,2,7,61,4.2,11.4,2.7,66,4.8,320,3,,HastJa02
212,Justice Hill,BAL,25,RB,15,0,12,12,58,4.8,0,2,15,0.8,3.9,100.00%,4.8,49,262,0,15,34,5.3,17.5,3.3,61,5.2,320,0,2,HillJu00
213,Justin Watson,KAN,26,WR,17,5,34,15,315,21,2,12,67,0.9,18.5,44.10%,9.3,,,0,0,,,,,15,21,315,2,,WatsJu01
214,DeeJay Dallas,SEA,24,RB,15,0,19,17,126,7.4,0,5,41,1.1,8.4,89.50%,6.6,35,186,0,9,27,5.3,12.4,2.3,52,6,312,0,1,DallDe00
215,Jelani Woods,IND,24,TE,15,2,40,25,312,12.5,3,16,36,1.7,20.8,62.50%,7.8,,,0,0,,,,,25,12.5,312,3,1,WoodJe01
216,Kylen Granson,IND,24,TE,13,4,40,31,302,9.7,0,17,32,2.4,23.2,77.50%,7.6,1,0,0,0,0,0,0,0.1,32,9.4,302,0,1,GranKy00
217,Mark Ingram,NOR,33,RB,10,3,18,16,68,4.3,0,2,11,1.6,6.8,88.90%,3.8,62,233,1,12,14,3.8,23.3,6.2,78,3.9,301,1,2,IngrMa01
218,Noah Gray,KAN,23,TE,17,8,34,28,299,10.7,1,14,27,1.6,17.6,82.40%,8.8,1,1,1,1,1,1,0.1,0.1,29,10.3,300,2,,GrayNo00
219,Shi Smith,CAR,24,WR,17,6,41,22,296,13.5,2,14,38,1.3,17.4,53.70%,7.2,,,0,0,,,,,22,13.5,296,2,4,SmitSh03
220,Trevor Lawrence,JAX,23,QB,17,17,,,,,0,0,,,,,,62,291,5,27,24,4.7,17.1,3.6,62,4.7,291,5,12,LawrTr00
221,Elijah Mitchell,SFO,24,RB,5,1,4,3,7,2.3,0,0,5,0.6,1.4,75.00%,1.8,45,279,2,15,37,6.2,55.8,9,48,6,286,2,,MitcEl00
222,Rashod Bateman,BAL,23,WR,6,5,28,15,285,19,2,7,75,2.5,47.5,53.60%,10.2,,,0,0,,,,,15,19,285,2,1,BateRa00
223,Rex Burkhead,HOU,32,RB,16,0,51,37,204,5.5,1,8,17,2.3,12.8,72.50%,4,26,80,0,4,9,3.1,5,1.6,63,4.5,284,1,,BurkRe00
224,Chosen Anderson,2TM,29,WR,16,7,44,20,282,14.1,1,10,75,1.3,17.6,45.50%,6.4,,,0,0,,,,,20,14.1,282,1,1,AndeRo04
225,Dante Pettis,CHI,27,WR,17,7,41,19,245,12.9,3,9,51,1.1,14.4,46.30%,6,2,37,0,2,29,18.5,2.2,0.1,21,13.4,282,3,1,PettDa00
226,Javonte Williams,DEN,22,RB,4,4,22,16,76,4.8,0,4,13,4,19,72.70%,3.5,47,204,0,9,17,4.3,51,11.8,63,4.4,280,0,1,WillJa10
227,Tre'Quan Smith,NOR,26,WR,15,6,27,19,278,14.6,1,14,48,1.3,18.5,70.40%,10.3,,,0,0,,,,,19,14.6,278,1,,SmitTr03
228,Russell Wilson,DEN,34,QB,15,15,1,1,1,1,0,0,1,0.1,0.1,100.00%,1,55,277,3,21,19,5,18.5,3.7,56,5,278,3,6,WilsRu00
229,Nyheim Hines,2TM,26,RB,16,5,37,30,241,8,1,11,22,1.9,15.1,81.10%,6.5,24,33,1,2,9,1.4,2.1,1.5,54,5.1,274,2,2,HineNy00
230,Skyy Moore,KAN,22,WR,16,3,33,22,250,11.4,0,13,30,1.4,15.6,66.70%,7.6,3,24,0,1,12,8,1.5,0.2,25,11,274,0,3,MoorSk01
231,Jamal Agnew,JAX,27,WR,15,0,30,23,187,8.1,3,9,24,1.5,12.5,76.70%,6.2,12,86,0,6,30,7.2,5.7,0.8,35,7.8,273,3,,AgneJa00
232,Jarvis Landry,NOR,30,WR,9,3,39,25,272,10.9,1,12,40,2.8,30.2,64.10%,7,,,0,0,,,,,25,10.9,272,1,1,LandJa00
233,Justin Jackson,DET,26,RB,16,0,19,12,101,8.4,1,7,15,0.8,6.3,63.20%,5.3,42,170,1,8,27,4,10.6,2.6,54,5,271,2,,JackJu01
234,Daniel Bellinger,NYG,22,TE,12,11,35,30,268,8.9,2,14,24,2.5,22.3,85.70%,7.7,1,2,1,1,2,2,0.2,0.1,31,8.7,270,3,1,BellDa00
235,Damiere Byrd,ATL,29,WR,14,4,23,13,268,20.6,2,9,75,0.9,19.1,56.50%,11.7,,,0,0,,,,,13,20.6,268,2,,ByrdDa00
236,J.D. McKissic,WAS,29,RB,8,0,40,27,173,6.4,0,7,14,3.4,21.6,67.50%,4.3,22,95,0,5,33,4.3,11.9,2.8,49,5.5,268,0,,McKiJ.00
237,Trey McBride,ARI,23,TE,16,13,39,29,265,9.1,1,12,29,1.8,16.6,74.40%,6.8,,,0,0,,,,,29,9.1,265,1,1,McBrTr01
238,Tyquan Thornton,NWE,22,WR,13,9,45,22,247,11.2,2,13,29,1.7,19,48.90%,5.5,3,16,1,1,19,5.3,1.2,0.2,25,10.5,263,3,,ThorTy00
239,Jordan Mason,SFO,23,RB,16,0,,,,,0,0,,,,,,43,258,1,10,55,6,16.1,2.7,43,6,258,1,,MasoJo00
240,Joe Burrow,CIN,26,QB,16,16,,,,,0,0,,,,,,75,257,5,28,23,3.4,16.1,4.7,75,3.4,257,5,6,BurrJo01
241,Phillip Dorsett,HOU,29,WR,15,4,40,20,257,12.9,1,11,34,1.3,17.1,50.00%,6.4,,,0,0,,,,,20,12.9,257,1,,DorsPh00
242,Kadarius Toney,2TM,23,WR,9,4,20,16,171,10.7,2,8,38,1.8,19,80.00%,8.6,7,82,1,5,32,11.7,9.1,0.8,23,11,253,3,1,ToneKa00
243,Jonnu Smith,NWE,27,TE,14,8,38,27,245,9.1,0,9,53,1.9,17.5,71.10%,6.4,1,5,0,1,5,5,0.4,0.1,28,8.9,250,0,1,SmitJo01
244,Ty Johnson,NYJ,25,RB,17,1,24,12,88,7.3,0,3,16,0.7,5.2,50.00%,3.7,30,160,1,5,32,5.3,9.4,1.8,42,5.9,248,1,,JohnTy02
245,Harrison Bryant,CLE,24,TE,17,9,42,31,239,7.7,1,12,30,1.8,14.1,73.80%,5.7,1,8,0,1,8,8,0.5,0.1,32,7.7,247,1,,BryaHa00
246,Jacoby Brissett,CLE,30,QB,16,11,,,,,0,0,,,,,,49,243,2,28,22,5,15.2,3.1,49,5,243,2,6,BrisJa00
247,Trenton Irwin,CIN,27,WR,9,2,23,15,231,15.4,4,12,45,1.7,25.7,65.20%,10,1,11,0,1,11,11,1.2,0.1,16,15.1,242,4,,IrwiTr00
248,Kenny Pickett,PIT,24,QB,13,12,,,,,0,0,,,,,,55,237,3,23,23,4.3,18.2,4.2,55,4.3,237,3,4,PickKe00
249,Braxton Berrios,NYJ,27,WR,17,2,32,18,145,8.1,0,8,25,1.1,8.5,56.30%,4.5,9,91,2,5,25,10.1,5.4,0.5,27,8.7,236,2,1,BerrBr00
250,A.J. Green,ARI,34,WR,15,10,47,24,236,9.8,2,11,77,1.6,15.7,51.10%,5,,,0,0,,,,,24,9.8,236,2,,GreeA.00
251,Brandon Powell,LAR,27,WR,17,6,32,24,156,6.5,0,7,16,1.4,9.2,75.00%,4.9,17,80,0,6,20,4.7,4.7,1,41,5.8,236,0,1,PoweBr00
252,Boston Scott,PHI,27,RB,15,2,6,5,15,3,0,0,5,0.3,1,83.30%,2.5,54,217,3,12,21,4,14.5,3.6,59,3.9,232,3,,ScotBo02
253,C.J. Uzomah,NYJ,29,TE,15,13,27,21,232,11,2,10,40,1.4,15.5,77.80%,8.6,,,0,0,,,,,21,11,232,2,,UzomC.00
254,Ameer Abdullah,LVR,29,RB,17,0,32,25,211,8.4,1,8,23,1.5,12.4,78.10%,6.6,4,20,0,2,7,5,1.2,0.2,29,8,231,1,,AbduAm00
255,Travis Homer,SEA,24,RB,10,1,18,16,157,9.8,1,7,27,1.6,15.7,88.90%,8.7,19,74,0,4,16,3.9,7.4,1.9,35,6.6,231,1,1,HomeTr00
256,Dare Ogunbowale,HOU,28,RB,17,4,26,20,104,5.2,0,5,23,1.2,6.1,76.90%,4,42,123,1,10,11,2.9,7.2,2.5,62,3.7,227,1,,OgunDa00
257,Kyle Juszczyk,SFO,31,FB,16,12,23,19,200,10.5,1,9,35,1.2,12.5,82.60%,8.7,7,26,1,5,9,3.7,1.6,0.4,26,8.7,226,2,,JuszKy00
258,Wan'Dale Robinson,NYG,21,WR,6,3,31,23,227,9.9,1,13,19,3.8,37.8,74.20%,7.3,2,-1,0,0,4,-0.5,-0.2,0.3,25,9,226,1,,RobiWa01
259,Malik Davis,DAL,24,RB,12,0,7,6,63,10.5,0,5,18,0.5,5.3,85.70%,9,38,161,1,6,23,4.2,13.4,3.2,44,5.1,224,1,,DaviMa02
260,Craig Reynolds,DET,26,RB,9,0,10,9,116,12.9,0,5,36,1,12.9,90.00%,11.6,23,102,0,4,21,4.4,11.3,2.6,32,6.8,218,0,,ReynCr00
261,Brock Wright,DET,24,TE,17,10,24,18,216,12,4,13,51,1.1,12.7,75.00%,9,,,0,0,,,,,18,12,216,4,,WrigBr01
262,Ashton Dulin,IND,25,WR,12,2,22,15,207,13.8,1,12,39,1.3,17.3,68.20%,9.4,2,8,0,1,5,4,0.7,0.2,17,12.6,215,1,,DuliAs00
263,Kyren Williams,LAR,22,RB,10,0,12,9,76,8.4,0,5,15,0.9,7.6,75.00%,6.3,35,139,0,6,17,4,13.9,3.5,44,4.9,215,0,,WillKy02
264,David Bell,CLE,22,WR,16,3,35,24,214,8.9,0,7,20,1.5,13.4,68.60%,6.1,,,0,0,,,,,24,8.9,214,0,,BellDa02
265,Amari Rodgers,2TM,23,,16,1,25,16,204,12.8,1,12,37,1,12.8,64.00%,8.2,2,7,0,0,4,3.5,0.4,0.1,18,11.7,211,1,6,RodgAm00
266,Velus Jones Jr.,CHI,25,WR,12,2,14,7,107,15.3,1,4,44,0.6,8.9,50.00%,7.6,9,103,1,5,42,11.4,8.6,0.8,16,13.1,210,2,3,JoneVe00
267,Adam Trautman,NOR,25,TE,15,12,22,18,207,11.5,1,9,22,1.2,13.8,81.80%,9.4,,,0,0,,,,,18,11.5,207,1,,TrauAd00
268,KhaDarel Hodge,ATL,27,WR,17,1,20,13,202,15.5,1,7,39,0.8,11.9,65.00%,10.1,,,0,0,,,,,13,15.5,202,1,,HodgKh00
269,Mike Boone,DEN,27,RB,9,0,15,9,96,10.7,0,2,34,1,10.7,60.00%,6.4,24,102,0,6,18,4.3,11.3,2.7,33,6,198,0,,BoonMi00
270,Ian Thomas,CAR,26,TE,17,17,30,21,197,9.4,0,8,50,1.2,11.6,70.00%,6.6,,,0,0,,,,,21,9.4,197,0,,ThomIa00
271,Scott Miller,TAM,25,WR,15,1,40,23,185,8,0,8,23,1.5,12.3,57.50%,4.6,1,8,0,0,8,8,0.5,0.1,24,8,193,0,,MillSc01
272,Jonathan Williams,WAS,28,RB,13,2,10,7,40,5.7,0,2,21,0.5,3.1,70.00%,4,37,152,0,6,23,4.1,11.7,2.8,44,4.4,192,0,,WillJo07
273,Mo Alie-Cox,IND,29,TE,17,11,28,19,189,9.9,3,9,34,1.1,11.1,67.90%,6.8,,,0,0,,,,,19,9.9,189,3,1,AlieMo00
274,KJ Hamler,DEN,23,WR,7,0,14,7,165,23.6,0,3,55,1,23.6,50.00%,11.8,2,23,0,1,14,11.5,3.3,0.3,9,20.9,188,0,,HamlKJ00
275,Denzel Mims,NYJ,25,WR,10,4,25,11,186,16.9,0,7,63,1.1,18.6,44.00%,7.4,,,0,0,,,,,11,16.9,186,0,,MimsDe00
276,Marlon Mack,2TM,26,,8,0,10,8,99,12.4,1,2,66,1,12.4,80.00%,9.9,16,84,1,4,17,5.3,10.5,2,24,7.6,183,2,,MackMa00
277,Dak Prescott,DAL,29,QB,12,12,,,,,0,0,,,,,,45,182,1,19,25,4,15.2,3.8,45,4,182,1,4,PresDa01
278,Irv Smith Jr.,MIN,24,TE,8,1,36,25,182,7.3,2,9,17,3.1,22.8,69.40%,5.1,,,0,0,,,,,25,7.3,182,2,1,SmitIr01
279,Gary Brightwell,NYG,23,RB,17,0,8,5,39,7.8,0,4,12,0.3,2.3,62.50%,4.9,31,141,1,9,25,4.5,8.3,1.8,36,5,180,1,,BrigGa00
280,Jalen Nailor,MIN,23,WR,15,0,13,9,179,19.9,1,7,47,0.6,11.9,69.20%,13.8,,,0,0,,,,,9,19.9,179,1,,NailJa00
281,Connor Heyward,PIT,23,TE,17,0,17,12,151,12.6,1,6,45,0.7,8.9,70.60%,8.9,2,27,0,2,21,13.5,1.6,0.1,14,12.7,178,1,,HeywCo00
282,Deshaun Watson,CLE,27,QB,6,6,,,,,0,0,,,,,,36,175,1,10,21,4.9,29.2,6,36,4.9,175,1,1,WatsDe00
283,Cameron Brate,TAM,31,TE,11,1,38,20,174,8.7,0,8,21,1.8,15.8,52.60%,4.6,,,0,0,,,,,20,8.7,174,0,,BratCa00
284,Jake Ferguson,DAL,23,TE,16,8,22,19,174,9.2,2,8,30,1.2,10.9,86.40%,7.9,,,0,0,,,,,19,9.2,174,2,,FergJa00
285,Steven Sims,PIT,25,WR,12,2,23,14,104,7.4,0,5,28,1.2,8.7,60.90%,4.5,13,70,0,5,22,5.4,5.8,1.1,27,6.4,174,0,3,SimsSt00
286,Tommy Tremble,CAR,22,TE,17,4,32,19,174,9.2,3,9,29,1.1,10.2,59.40%,5.4,,,0,0,,,,,19,9.2,174,3,1,TremTo00
287,Michael Thomas,NOR,29,WR,3,3,22,16,171,10.7,3,13,21,5.3,57,72.70%,7.8,,,0,0,,,,,16,10.7,171,3,,ThomMi05
288,Raheem Blackshear,CAR,23,RB,13,1,12,10,93,9.3,0,3,27,0.8,7.2,83.30%,7.8,23,77,3,7,16,3.3,5.9,1.8,33,5.2,170,3,1,BlacRa00
289,Avery Williams,ATL,24,RB,17,3,14,13,61,4.7,0,3,10,0.8,3.6,92.90%,4.4,22,109,1,6,21,5,6.4,1.3,35,4.9,170,1,1,WillAv02
290,Khalil Shakir,BUF,22,WR,14,2,20,10,161,16.1,1,7,31,0.7,11.5,50.00%,8.1,,,0,0,,,,,10,16.1,161,1,,ShakKh00
291,Sony Michel,LAC,27,RB,10,0,13,9,53,5.9,0,1,9,0.9,5.3,69.20%,4.1,36,106,0,8,12,2.9,10.6,3.6,45,3.5,159,0,,MichSo00
292,Dyami Brown,WAS,23,WR,15,0,14,5,143,28.6,2,5,75,0.3,9.5,35.70%,10.2,1,15,0,1,15,15,1,0.1,6,26.3,158,2,,BrowDy00
293,Marquez Callaway,NOR,24,WR,14,3,32,16,158,9.9,1,11,33,1.1,11.3,50.00%,4.9,,,0,0,,,,,16,9.9,158,1,,CallMa01
294,Sterling Shepard,NYG,29,WR,3,2,24,13,154,11.8,1,4,65,4.3,51.3,54.20%,6.4,,,0,0,,,,,13,11.8,154,1,,ShepSt00
295,DeSean Jackson,BAL,36,WR,7,1,17,9,153,17,0,5,62,1.3,21.9,52.90%,9,,,0,0,,,,,9,17,153,0,,JackDe00
296,Royce Freeman,HOU,26,RB,4,1,8,6,33,5.5,0,0,9,1.5,8.3,75.00%,4.1,41,117,0,7,11,2.9,29.3,10.3,47,3.2,150,0,1,FreeRo00
297,Hassan Haskins,TEN,23,RB,15,1,12,11,57,5.2,0,2,10,0.7,3.8,91.70%,4.8,25,93,0,5,12,3.7,6.2,1.7,36,4.2,150,0,,HaskHa00
298,Zach Pascal,PHI,28,WR,17,2,19,15,150,10,1,9,34,0.9,8.8,78.90%,7.9,1,0,0,0,0,0,0,0.1,16,9.4,150,1,,PascZa00
299,MyCole Pruitt,ATL,30,TE,13,4,21,16,150,9.4,4,10,29,1.2,11.5,76.20%,7.1,,,0,0,,,,,16,9.4,150,4,,PruiMy00
300,Josh Oliver,BAL,25,TE,17,9,25,14,149,10.6,2,7,40,0.8,8.8,56.00%,6,,,0,0,,,,,14,10.6,149,2,,OlivJo00
301,Eric Saubert,DEN,28,TE,17,6,24,15,148,9.9,1,6,25,0.9,8.7,62.50%,6.2,,,0,0,,,,,15,9.9,148,1,,SaubEr00
302,O.J. Howard,HOU,28,TE,13,10,23,10,145,14.5,2,6,26,0.8,11.2,43.50%,6.3,,,0,0,,,,,10,14.5,145,2,,HowaO.00
303,Cedrick Wilson Jr.,MIA,27,WR,15,0,18,12,136,11.3,0,8,21,0.8,9.1,66.70%,7.6,1,8,0,0,8,8,0.5,0.1,13,11.1,144,0,,WilsCe01
304,Pierre Strong,NWE,24,RB,15,0,7,7,42,6,0,3,16,0.5,2.8,100.00%,6,10,100,1,5,44,10,6.7,0.7,17,8.4,142,1,,StroPi00
305,Keelan Cole,LVR,29,WR,14,3,21,10,141,14.1,1,8,30,0.7,10.1,47.60%,6.7,,,0,0,,,,,10,14.1,141,1,1,ColeKe00
306,Tom Kennedy,DET,26,WR,7,1,15,8,141,17.6,0,7,44,1.1,20.1,53.30%,9.4,,,0,0,,,,,8,17.6,141,0,,KennTo01
307,Johnny Mundt,MIN,28,TE,17,12,21,19,140,7.4,1,9,17,1.1,8.2,90.50%,6.7,,,0,0,,,,,19,7.4,140,1,,MundJo00
308,Mitchell Wilcox,CIN,26,TE,16,4,18,17,139,8.2,1,6,19,1.1,8.7,94.40%,7.7,,,0,0,,,,,17,8.2,139,1,,WilcMi01
309,Justin Herbert,LAC,24,QB,17,17,2,2,-10,-5,0,0,-2,0.1,-0.6,100.00%,-5,54,147,0,17,23,2.7,8.6,3.2,56,2.4,137,0,8,HerbJu00
310,Tyler Huntley,BAL,24,QB,6,4,,,,,0,0,,,,,,43,137,1,12,14,3.2,22.8,7.2,43,3.2,137,1,3,HuntTy01
311,Dan Arnold,JAX,27,TE,17,0,13,9,135,15,0,5,26,0.5,7.9,69.20%,10.4,,,0,0,,,,,9,15,135,0,,ArnoDa00
312,Byron Pringle,CHI,29,WR,11,4,16,10,135,13.5,2,8,35,0.9,12.3,62.50%,8.4,,,0,0,,,,,10,13.5,135,2,,PrinBy00
313,Jeff Smith,NYJ,25,WR,11,0,11,8,134,16.8,0,5,50,0.7,12.2,72.70%,12.2,,,0,0,,,,,8,16.8,134,0,,SmitJe03
314,Zach Gentry,PIT,26,TE,17,13,23,19,132,6.9,0,6,32,1.1,7.8,82.60%,5.7,,,0,0,,,,,19,6.9,132,0,,GentZa00
315,Tanner Hudson,NYG,28,TE,11,0,15,10,132,13.2,0,8,27,0.9,12,66.70%,8.8,,,0,0,,,,,10,13.2,132,0,,HudsTa00
316,Donald Parham,LAC,25,TE,6,1,12,10,130,13,1,5,24,1.7,21.7,83.30%,10.8,,,0,0,,,,,10,13,130,1,,ParhDo00
317,Durham Smythe,MIA,27,TE,16,15,20,15,129,8.6,1,7,26,0.9,8.1,75.00%,6.5,2,1,1,1,1,0.5,0.1,0.1,17,7.6,130,2,,SmytDu00
318,Jalen Reagor,MIN,23,WR,17,0,13,8,104,13,1,5,38,0.5,6.1,61.50%,8,4,25,0,1,17,6.3,1.5,0.2,12,10.8,129,1,4,ReagJa00
319,Brevin Jordan,HOU,22,TE,11,3,28,14,128,9.1,0,7,20,1.3,11.6,50.00%,4.6,,,0,0,,,,,14,9.1,128,0,,JordBr00
320,Brandon Bolden,LVR,32,RB,16,0,9,9,57,6.3,1,2,18,0.6,3.6,100.00%,6.3,17,66,0,3,12,3.9,4.1,1.1,26,4.7,123,1,,BoldBr00
321,Jack Stoll,PHI,24,TE,17,11,14,11,123,11.2,0,5,26,0.6,7.2,78.60%,8.8,,,0,0,,,,,11,11.2,123,0,,StolJa00
322,Malik Willis,TEN,23,QB,8,3,,,,,0,0,,,,,,27,123,1,8,17,4.6,15.4,3.4,27,4.6,123,1,3,WillMa12
323,T.Y. Hilton,DAL,33,WR,3,0,10,7,121,17.3,0,5,52,2.3,40.3,70.00%,12.1,,,0,0,,,,,7,17.3,121,0,,HiltT.00
324,Malcolm Brown,LAR,29,RB,11,0,6,5,37,7.4,0,2,13,0.5,3.4,83.30%,6.2,18,81,1,3,23,4.5,7.4,1.6,23,5.1,118,1,,BrowMa03
325,Lawrence Cager,2TM,25,TE,7,4,19,13,118,9.1,1,8,20,1.9,16.9,68.40%,6.2,,,0,0,,,,,13,9.1,118,1,,CageLa01
326,Pharaoh Brown,2TM,28,TE,16,8,20,12,117,9.8,0,6,30,0.8,7.3,60.00%,5.9,,,0,0,,,,,12,9.8,117,0,,BrowPh01
327,N'Keal Harry,CHI,25,WR,7,0,9,7,116,16.6,1,4,49,1,16.6,77.80%,12.9,,,0,0,,,,,7,16.6,116,1,,HarrNK00
328,Josiah Deguara,GNB,25,TE,17,3,15,13,114,8.8,0,4,25,0.8,6.7,86.70%,7.6,,,0,0,,,,,13,8.8,114,0,,DeguJo00
329,Alec Ingold,MIA,26,FB,17,14,23,15,105,7,1,4,17,0.9,6.2,65.20%,4.6,6,8,1,5,2,1.3,0.5,0.4,21,5.4,113,2,,IngoAl01
330,James Mitchell,DET,23,TE,14,0,11,11,113,10.3,1,7,22,0.8,8.1,100.00%,10.3,,,0,0,,,,,11,10.3,113,1,,MitcJa00
331,Teagan Quitoriano,HOU,22,TE,9,6,14,7,113,16.1,2,5,52,0.8,12.6,50.00%,8.1,,,0,0,,,,,7,16.1,113,2,,QuitTe00
332,Darrel Williams,ARI,27,RB,6,0,8,4,9,2.3,0,0,6,0.7,1.5,50.00%,1.1,21,102,1,8,30,4.9,17,3.5,25,4.4,111,1,,WillDa10
333,Corey Clement,ARI,28,RB,9,1,7,5,54,10.8,0,3,21,0.6,6,71.40%,7.7,15,55,1,6,12,3.7,6.1,1.7,20,5.5,109,1,,ClemCo00
334,Brycen Hopkins,LAR,25,TE,14,1,11,7,109,15.6,0,5,22,0.5,7.8,63.60%,9.9,,,0,0,,,,,7,15.6,109,0,,HopkBr01
335,John Bates,WAS,25,TE,16,7,22,14,108,7.7,1,4,20,0.9,6.8,63.60%,4.9,,,0,0,,,,,14,7.7,108,1,1,BateJo00
336,Jody Fortson,KAN,27,TE,13,1,13,9,108,12,2,6,40,0.7,8.3,69.20%,8.3,,,0,0,,,,,9,12,108,2,1,FortJo01
337,Davis Mills,HOU,24,QB,15,15,,,,,0,0,,,,,,32,108,2,8,17,3.4,7.2,2.1,32,3.4,108,2,8,MillDa02
338,Anthony Schwartz,CLE,22,WR,11,1,10,4,51,12.8,0,2,19,0.4,4.6,40.00%,5.1,4,57,1,2,31,14.3,5.2,0.4,8,13.5,108,1,1,SchwAn00
339,Benny Snell Jr.,PIT,24,RB,17,0,2,2,17,8.5,0,1,11,0.1,1,100.00%,8.5,20,90,1,6,16,4.5,5.3,1.2,22,4.9,107,1,,SnelBe00
340,Sam Darnold,CAR,25,QB,6,6,,,,,0,0,,,,,,26,106,2,10,26,4.1,17.7,4.3,26,4.1,106,2,6,DarnSa00
341,David Sills,NYG,26,WR,9,5,17,11,106,9.6,0,7,24,1.2,11.8,64.70%,6.2,,,0,0,,,,,11,9.6,106,0,,SillDa01
342,Ross Dwelley,SFO,27,TE,12,0,5,3,105,35,1,3,56,0.3,8.8,60.00%,21,,,0,0,,,,,3,35,105,1,,DwelRo00
343,Peyton Hendershot,DAL,23,TE,17,2,16,11,103,9.4,2,8,29,0.6,6.1,68.80%,6.4,1,2,1,1,2,2,0.1,0.1,12,8.8,105,3,1,HendPe01
344,Zach Wilson,NYJ,23,QB,9,9,1,1,2,2,1,1,2,0.1,0.2,100.00%,2,28,102,1,7,18,3.6,11.3,3.1,29,3.6,104,2,1,WilsZa00
345,Breshad Perriman,TAM,29,WR,11,3,19,9,110,12.2,1,5,28,0.8,10,47.40%,5.8,2,-7,0,0,0,-3.5,-0.6,0.2,11,9.4,103,1,2,PerrBr02
346,Derek Carr,LVR,31,QB,15,15,,,,,0,0,,,,,,24,102,0,10,20,4.3,6.8,1.6,24,4.3,102,0,4,CarrDe02
