Rk,Player,Tm,Age,Pos,G,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving 1D,Receiving Lng,Receiving R/G,Receiving Y/G,Receiving Ctch%,Receiving Y/Tgt,Rushing Att,Rushing Yds,Rushing TD,Rushing 1D,Rushing Lng,Rushing Y/A,Rushing Y/G,Rushing A/G,Total Tch,Y/Tch,Total Yds,RRTD,Fmb,key
82,Josh Palmer,LAC,24,WR,16,11,107,72,769,10.7,3,39,50,4.5,48.1,67.30%,7.2,1,4,0,1,4,4,0.3,0.1,73,10.6,773,3,1,PalmJo00
83,Rachaad White,TAM,23,RB,17,8,58,50,290,5.8,2,13,20,2.9,17.1,86.20%,5,129,481,1,27,35,3.7,28.3,7.6,179,4.3,771,3,3,WhitRa01
84,George Kittle,SFO,29,TE,15,15,86,60,765,12.8,11,36,54,4,51,69.80%,8.9,,,0,0,,,,,60,12.8,765,11,1,KittGe00
85,Lamar Jackson,BAL,25,QB,12,12,,,,,0,0,,,,,,112,764,3,47,79,6.8,63.7,9.3,112,6.8,764,3,5,JackLa00
86,Josh Allen,BUF,26,QB,16,16,,,,,0,0,,,,,,124,762,7,55,44,6.1,47.6,7.8,124,6.1,762,7,13,AlleJo02
87,Tyler Boyd,CIN,28,WR,16,14,82,58,762,13.1,5,42,60,3.6,47.6,70.70%,9.3,,,0,0,,,,,58,13.1,762,5,,BoydTy00
88,Keenan Allen,LAC,30,WR,10,10,89,66,752,11.4,4,39,46,6.6,75.2,74.20%,8.4,1,8,0,1,8,8,0.8,0.1,67,11.3,760,4,1,AlleKe00
89,Jalen Hurts,PHI,24,QB,15,15,,,,,0,0,,,,,,165,760,13,67,42,4.6,50.7,11,165,4.6,760,13,9,HurtJa00
90,Pat Freiermuth,PIT,24,TE,16,8,98,63,732,11.6,2,37,57,3.9,45.8,64.30%,7.5,,,0,0,,,,,63,11.6,732,2,,FreiPa00
91,Mack Hollins,LVR,29,WR,17,16,94,57,690,12.1,4,34,60,3.4,40.6,60.60%,7.3,4,40,0,2,17,10,2.4,0.2,61,12,730,4,,HollMa00
92,Darius Slayton,NYG,25,WR,16,11,71,46,724,15.7,2,30,55,2.9,45.3,64.80%,10.2,,,0,0,,,,,46,15.7,724,2,2,SlayDa01
93,Adam Thielen,MIN,32,WR,17,17,107,70,716,10.2,6,45,36,4.1,42.1,65.40%,6.7,1,4,0,0,4,4,0.2,0.1,71,10.1,720,6,,ThieAd00
94,DeAndre Hopkins,ARI,30,WR,9,9,96,64,717,11.2,3,35,33,7.1,79.7,66.70%,7.5,,,0,0,,,,,64,11.2,717,3,2,HopkDe00
95,Marquise Brown,ARI,25,WR,12,10,107,67,709,10.6,3,33,47,5.6,59.1,62.60%,6.6,1,1,0,0,1,1,0.1,0.1,68,10.4,710,3,1,BrowMa04
96,Daniel Jones,NYG,25,QB,16,16,,,,,0,0,,,,,,120,708,7,57,25,5.9,44.3,7.5,120,5.9,708,7,6,JoneDa05
97,Brandin Cooks,HOU,29,WR,13,13,93,57,699,12.3,3,29,44,4.4,53.8,61.30%,7.5,2,7,0,0,5,3.5,0.5,0.2,59,12,706,3,,CookBr00
98,Dallas Goedert,PHI,27,TE,12,12,69,55,702,12.8,3,40,31,4.6,58.5,79.70%,10.2,,,0,0,,,,,55,12.8,702,3,1,GoedDa00
99,Christian Watson,GNB,23,WR,14,11,66,41,611,14.9,7,28,63,2.9,43.6,62.10%,9.3,7,80,2,2,46,11.4,5.7,0.5,48,14.4,691,9,,WatsCh00
100,Michael Carter,NYJ,23,RB,16,10,54,41,288,7,0,12,37,2.6,18,75.90%,5.3,114,402,3,14,25,3.5,25.1,7.1,155,4.5,690,3,2,CartMi03
101,James Cook,BUF,23,RB,16,0,32,21,180,8.6,1,5,41,1.3,11.3,65.60%,5.6,89,507,2,25,33,5.7,31.7,5.6,110,6.2,687,3,1,CookJa01
102,Marquez Valdes-Scantling,KAN,28,WR,17,11,81,42,687,16.4,2,32,57,2.5,40.4,51.90%,8.5,1,-3,0,0,-3,-3,-0.2,0.1,43,15.9,684,2,,ValdMa00
103,Parris Campbell,IND,25,WR,17,16,91,63,623,9.9,3,32,49,3.7,36.6,69.20%,6.8,5,58,0,2,28,11.6,3.4,0.3,68,10,681,3,1,CampPa00
104,Breece Hall,NYJ,21,RB,7,2,31,19,218,11.5,1,8,79,2.7,31.1,61.30%,7,80,463,4,20,62,5.8,66.1,11.4,99,6.9,681,5,1,HallBr03
