AMOUNT,FIRST_NAME,LAST_NAME,POSITION,SLOT,TEAM,YEARS_EXP,ROUND,ROSTER_ID,PLAYER_ID,PICKED_BY,PICK_NO,IS_KEEPER,DRAFT_SLOT,DRAFT_ID,FULL_NAME,KEEPER_COST
53,Christian,McCaffrey,RB,6,SF,7,1,4,4034,855170543408758784,1,true,6,1124814687217676289,Christian McCaffrey,
27,Josh,Jacobs,RB,6,GB,5,1,4,5850,855170543408758784,2,true,6,1124814687217676289,Josh Jacobs,
8,Jake,Ferguson,TE,6,DAL,2,1,4,8110,855170543408758784,3,true,6,1124814687217676289,Jake Ferguson,
8,Dalton,Kincaid,TE,2,BUF,1,1,10,10236,468977651244068864,4,true,2,1124814687217676289,Dalton Kincaid,
5,Nico,Collins,WR,2,HOU,3,1,10,7569,468977651244068864,5,true,2,1124814687217676289,Nico Collins,
11,Chris,Olave,WR,2,NO,2,1,10,8144,468977651244068864,6,true,2,1124814687217676289,Chris Olave,
19,Breece,Hall,RB,5,NYJ,2,1,12,8155,86966669985333248,7,true,5,1124814687217676289,Breece Hall,
5,Sam,LaPorta,TE,5,DET,1,1,12,10859,86966669985333248,8,true,5,1124814687217676289,Sam LaPorta,
30,Tyreek,Hill,WR,5,MIA,8,1,12,3321,86966669985333248,9,true,5,1124814687217676289,Tyreek Hill,
8,Devin,Singletary,RB,4,NYG,5,1,7,6130,474645081496743936,10,true,4,1124814687217676289,Devin Singletary,
15,Rhamondre,Stevenson,RB,4,NE,3,1,7,7611,474645081496743936,11,true,4,1124814687217676289,Rhamondre Stevenson,
13,Drake,London,WR,10,ATL,2,1,2,8112,1136833254469943296,12,true,10,1124814687217676289,Drake London,
8,Gardner,Minshew,QB,10,LV,5,2,2,6011,1136833254469943296,13,true,10,1124814687217676289,Gardner Minshew,
14,Jordan,Love,QB,3,GB,4,2,9,6804,855529946632798208,14,true,3,1124814687217676289,Jordan Love,
16,Isiah,Pacheco,RB,3,KC,2,2,9,8205,855529946632798208,15,true,3,1124814687217676289,Isiah Pacheco,
35,CeeDee,Lamb,WR,3,DAL,4,2,9,6786,855529946632798208,16,true,3,1124814687217676289,CeeDee Lamb,
8,Kyren,Williams,RB,1,LAR,2,2,3,8150,464859920353718272,17,true,1,1124814687217676289,Kyren Williams,
6,Evan,Engram,TE,1,JAX,7,2,3,4066,464859920353718272,18,true,1,1124814687217676289,Evan Engram,
15,Amon-Ra,St. Brown,WR,1,DET,3,2,3,7547,464859920353718272,19,true,1,1124814687217676289,Amon-Ra St. Brown,
58,Patrick,Mahomes,QB,11,KC,7,2,8,4046,855525475735449600,20,true,11,1124814687217676289,Patrick Mahomes,
8,Trey,McBride,TE,4,ARI,2,2,7,8130,474645081496743936,21,false,4,1124814687217676289,Trey McBride,
17,C.J.,Stroud,QB,8,HOU,1,2,11,9758,855578400897748992,22,true,8,1124814687217676289,C.J. Stroud,
8,Will,Levis,QB,8,TEN,1,2,11,9999,855578400897748992,23,true,8,1124814687217676289,Will Levis,
9,Michael,Pittman,WR,8,IND,4,2,11,6819,855578400897748992,24,true,8,1124814687217676289,Michael Pittman,
28,Anthony,Richardson,QB,7,IND,1,3,6,9229,855126842598858752,25,true,7,1124814687217676289,Anthony Richardson,
6,De'Von,Achane,RB,7,MIA,1,3,6,9226,855126842598858752,26,true,7,1124814687217676289,De'Von Achane,
9,Garrett,Wilson,WR,7,NYJ,2,3,6,8146,855126842598858752,27,true,7,1124814687217676289,Garrett Wilson,
23,Jonathan,Taylor,RB,11,IND,4,3,8,6813,855525475735449600,28,true,11,1124814687217676289,Jonathan Taylor,
51,Justin,Jefferson,WR,11,MIN,4,3,8,6794,855525475735449600,29,true,11,1124814687217676289,Justin Jefferson,
59,Jalen,Hurts,QB,9,PHI,4,3,1,6904,854978436689702912,30,true,9,1124814687217676289,Jalen Hurts,
11,James,Cook,RB,9,BUF,2,3,1,8138,854978436689702912,31,true,9,1124814687217676289,James Cook,
8,Puka,Nacua,WR,9,LAR,1,3,1,9493,854978436689702912,32,true,9,1124814687217676289,Puka Nacua,
13,Kyler,Murray,QB,12,ARI,5,3,5,5849,710307353332871168,33,true,12,1124814687217676289,Kyler Murray,
15,Brandon,Aiyuk,WR,12,SF,4,3,5,6803,710307353332871168,34,true,12,1124814687217676289,Brandon Aiyuk,
8,Tank,Dell,WR,12,HOU,1,3,5,9502,710307353332871168,35,true,12,1124814687217676289,Tank Dell,
3,Blake,Corum,RB,1,LAR,0,3,3,11586,464859920353718272,36,,1,1124814687217676289,Blake Corum,
29,Jayden,Daniels,QB,2,WAS,0,4,10,11566,468977651244068864,37,,2,1124814687217676289,Jayden Daniels,
60,Josh,Allen,QB,5,BUF,6,4,12,4984,86966669985333248,38,,5,1124814687217676289,Josh Allen,
25,Joe,Mixon,RB,4,HOU,7,4,7,4018,474645081496743936,39,,4,1124814687217676289,Joe Mixon,
1,Dallas,Cowboys,DEF,5,DAL,,4,12,DAL,86966669985333248,40,,5,1124814687217676289,Dallas Cowboys,
36,Joe,Burrow,QB,2,CIN,4,4,10,6770,468977651244068864,41,,2,1124814687217676289,Joe Burrow,
52,Lamar,Jackson,QB,1,BAL,6,4,3,4881,464859920353718272,42,,1,1124814687217676289,Lamar Jackson,
50,Bijan,Robinson,RB,12,ATL,1,4,5,9509,710307353332871168,43,,12,1124814687217676289,Bijan Robinson,
25,Marvin,Harrison,WR,2,ARI,0,4,10,11628,468977651244068864,44,,2,1124814687217676289,Marvin Harrison,
37,Jahmyr,Gibbs,RB,3,DET,1,4,9,9221,855529946632798208,45,,3,1124814687217676289,Jahmyr Gibbs,
10,Rome,Odunze,WR,1,CHI,0,4,3,11620,464859920353718272,46,,1,1124814687217676289,Rome Odunze,
33,Caleb,Williams,QB,12,CHI,0,4,5,11560,710307353332871168,47,,12,1124814687217676289,Caleb Williams,
33,Trevor,Lawrence,QB,1,JAX,3,4,3,7523,464859920353718272,48,,1,1124814687217676289,Trevor Lawrence,
10,Najee,Harris,RB,3,PIT,3,5,9,7528,855529946632798208,49,,3,1124814687217676289,Najee Harris,
18,Travis,Kelce,TE,10,KC,11,5,2,1466,1136833254469943296,50,,10,1124814687217676289,Travis Kelce,
16,Stefon,Diggs,WR,4,HOU,9,5,7,2449,474645081496743936,51,,4,1124814687217676289,Stefon Diggs,
43,Ja'Marr,Chase,WR,3,CIN,3,5,9,7564,855529946632798208,52,,3,1124814687217676289,Ja'Marr Chase,
23,DJ,Moore,WR,5,CHI,6,5,12,4983,86966669985333248,53,,5,1124814687217676289,DJ Moore,
